Title	xmlUrl	htmlUrl
Marketplace	http://feeds.americanpublicmedia.org/MarketplacePodcast	http://www.marketplace.org/shows/marketplace
EconTalk	http://files.libertyfund.org/econtalk/EconTalk.xml	http://www.econtalk.org/
Book Review	http://www.nytimes.com/services/xml/rss/nyt/podcasts/bookupdate.xml	http://www.nytimes.com/
The Wolf Den	http://rss.earwolf.com/wolf-den	http://www.earwolf.com/show/wolf-den/
A Taste of the Past	https://simplecast.com/podcasts/1493/rss	http://heritageradionetwork.org/
IRE Radio Podcast	http://feeds.feedburner.com/ire-nicar	http://www.ire.org/
StartUp Podcast	http://feeds.hearstartup.com/hearstartup	http://gimletmedia.com/
Upgrade	http://relay.fm/upgrade/feed	https://www.relay.fm/upgrade
Switched On Pop	http://www.switchedonpop.com/?feed=rss2	http://www.switchedonpop.com/
IDEO Futures	http://feeds.soundcloud.com/users/soundcloud:users:104583542/sounds.rss	http://soundcloud.com/ideo-futures
Lore	http://lorepodcast.libsyn.com/rss	http://www.lorepodcast.com/
Sidewalks	http://feeds.feedburner.com/radiosidewalks	http://feeds.feedburner.com/RadioSidewalks
Under the Radar	http://www.relay.fm/radar/feed	https://www.relay.fm/radar
I'm Just Talking Here - Ollie Wisdom	http://www.olliewisdom.com/im-just-talking-here?format=rss	http://www.olliewisdom.com/im-just-talking-here/
Three Broke Mice	http://feedpress.me/three-broke-mice	http://kbia.org/programs/three-broke-mice
Radiolab	http://feeds.wnyc.org/radiolab	http://www.radiolab.org/series/podcasts/
Here's The Thing with Alec Baldwin	http://feeds.feedburner.com/wnycheresthething	http://www.wnyc.org/shows/heresthething
Slate's Political Gabfest	http://feeds.feedburner.com/SlatePoliticalGabfest	http://www.slate.com/gabfest
The Sporkful	http://feeds.feedburner.com/sporkful	http://www.wnyc.org/shows/sporkful
Seriously...	http://www.bbc.co.uk/programmes/p02pc9qx/episodes/downloads.rss	http://www.bbc.co.uk/programmes/p02pc9qx
Back to Work	http://feeds.5by5.tv/b2w	http://5by5.tv/b2w
The Truth	http://feeds.feedburner.com/thetruthapm	http://thetruthpodcast.com/
WBEZ's Worldview	http://podcasts.chicagopublicradio.org/cprworldviewpodcast	https://www.wbez.org/shows/worldview/2ef22748-cb5e-4b50-abf3-b31744c2d98a
The Art of Manliness	http://feeds.feedburner.com/artofmanlinesspodcast	http://www.artofmanliness.com/
Song Exploder	http://songexploder.libsyn.com/rss	http://www.songexploder.net/
Invisibilia	http://www.npr.org/rss/podcast.php?id=510307	http://www.npr.org/programs/invisibilia
The Tim Ferriss Show	http://feeds.feedburner.com/thetimferrissshow	http://www.fourhourworkweek.com/
On the Media	http://feeds.wnyc.org/onthemedia	http://www.wnyc.org/series/media-podcast
In Our Time	http://downloads.bbc.co.uk/podcasts/radio4/iot/rss.xml	http://www.bbc.co.uk/programmes/b006qykl
Radio Diaries	http://feed.radiodiaries.org/radio-diaries?id=510288	http://www.radiodiaries.org/
Comments on:	http://feeds.feedburner.com/WhadyaKnow	https://whadyaknow.net/
What's Tech?	http://feeds.podtrac.com/SCOrL45pOotI	https://art19.com/shows/whats-tech
New York Magazine's Sex Lives	http://feeds.feedburner.com/NewYorkMagazinesSexLives	http://www.nymag.com/
